course_id,division
MA102,I
ME101,I
ME221,I
ME222,I
ME223,I
ME224,I
ME321,I
ME322,I
ME323,I
ME324,I
ME325,I
PH102,I
MA102,II
ME101,II
ME221,II
ME222,II
ME223,II
ME224,II
ME321,II
ME322,II
ME323,II
ME324,II
ME325,II
PH102,II
MA102,III
ME101,III
PH102,III
MA102,IV
ME101,IV
PH102,IV
HS502,NA
HS503,NA
HS505,NA
HS512,NA
HS517,NA
HS521,NA
HS604,NA
HS621,NA
HS622,NA
HS623,NA
MA002,NA
MA212M,NA
MA224,NA
MA252,NA
MA271,NA
MA312M,NA
MA321,NA
MA351,NA
MA373,NA
MA473,NA
MA477,NA
MA502,NA
MA505,NA
MA512,NA
MA513,NA
MA519,NA
MA542,NA
MA547,NA
MA561,NA
MA571,NA
MA573,NA
MA590,NA
MA591,NA
MA616,NA
MA622,NA
MA625,NA
MA641,NA
MA642,NA
MA643,NA
MA644,NA
MA662,NA
MA671,NA
MA685,NA
MA691,NA
MA746,NA
MA762,NA
ME321M,NA
ME421,NA
ME513,NA
ME514,NA
ME522,NA
ME532,NA
ME553,NA
ME554,NA
ME605,NA
ME607,NA
ME613,NA
ME615,NA
ME616,NA
ME618,NA
ME619,NA
ME662,NA
ME665,NA
ME670,NA
ME672,NA
ME680,NA
ME686,NA
ME688,NA
ME691,NA
ME695,NA
PH202,NA
PH204,NA
PH206,NA
PH302,NA
PH304,NA
PH306,NA
PH308,NA
PH345,NA
PH382M,NA
PH402,NA
PH404,NA
PH406,NA
PH408,NA
PH410,NA
PH414,NA
PH443,NA
PH446,NA
PH462,NA
PH521,NA
PH523,NA
PH524,NA
PH527,NA
PH531,NA
PH532,NA
PH543,NA
PH544,NA
PH545,NA
PH702,NA
PH703,NA
PH704,NA
PH706,NA
BT 101,I
BT 101,II
BT 101,III
BT 101,IV
BT 202,NA
BT 205,NA
BT 208,NA
BT 302,NA
BT 305,NA
BT 306,NA
BT 308,NA
BT 601,NA
BT 616,NA
BT 401,NA
BT 618,NA
BT 604,NA
BT 607,NA
BT 613,NA
BT 609,NA
BT 629,NA
BT 637,NA
BT 502,NA
BT 504,NA
BT 632,NA
BT 630,NA
CE 220,NA
CE 206,NA
CE 205,NA
CE 307,NA
CE 308,NA
CE 311,NA
CE 606,NA
CE 505,NA
CE 643,NA
CE 623,NA
CE 607,NA
CE 564,NA
CE 652,NA
CE 525,NA
CE 646,NA
CE 510,NA
CE 570,NA
CE 595,NA
CE 664,NA
CE 628,NA
CE 612,NA
CE 584,NA
CE 583,NA
CE 615,NA
CE 555,NA
CE 552,NA
CE 616,NA
CE 201,NA
CE 504,NA
CE 524,NA
CE 533,NA
CE 661,NA
CE 222,NA
CE 614,NA
CE 309,NA
CE 304,NA
CE 514,NA
CE 556,NA
CE 594,NA
CE 649,NA
CE 648,NA
CE 608,NA
CE 402,NA
CH 002,NA
CH 212,NA
CH 222,NA
CH 232,NA
CH 233,NA
CH 322,NA
CH 323,NA
CH 333,NA
CH 419,NA
CH 334,NA
CH 417,NA
CH 418,NA
CH 428,NA
CH 438,NA
CH 411,NA
CH 421,NA
CH 432,NA
CH 433,NA
CH 501,NA
CH 615,NA
CH 617,NA
CH 625,NA
CH 637,NA
CH 640,NA
CH 603,NA
CH 611,NA
CH 621,NA
CH 623,NA
CH 630,NA
CH 643,NA
CL 204,NA
CL 205,NA
CL 206,NA
CL 207,NA
CL 252M,NA
CL 307,NA
CL 308,NA
CL 309,NA
CL 314,NA
CL 352M,NA
CL 401,NA
CL 404,NA
CL 503,NA
CL 504,NA
CL 612,NA
CL 614,NA
CL 617,NA
CL 618,NA
CL 619,NA
CL 622,NA
CL 623,NA
CL 625,NA
CL 630,NA
CL 634,NA
CL 635,NA
CL 638,NA
CL 639,NA
CL 642,NA
