letter,day ,start_time,end_time
A,Monday,8:00,8:55
A,Tuesday,9:00,9:55
A,Wednesday,10:00,10:55
A,Thursday,11:00,11:55
B,Monday,9:00,9:55
B,Tuesday,10:00,10:55
B,Wednesday,11:00,11:55
B,Friday,8:00,8:55
C,Monday,10:00,10:55
C,Tuesday,11:00,11:55
C,Thursday,8:00,8:55
C,Friday,9:00,9:55
D,Monday,11:00,11:55
D,Wednesday,8:00,8:55
D,Thursday,9:00,9:55
D,Friday,10:00,10:55
E,Tuesday,8:00,8:55
E,Wednesday,9:00,9:55
E,Thursday,10:00,10:55
E,Friday,11:00,11:55
F,Monday,12:00,12:55
F,Wednesday,12:00,12:55
F,Friday,12:00,12:55
G,Monday,1:00,1:55
G,Wednesday,1:00,1:55
G,Friday,1:00,1:55
H,Tuesday,12:00,12:55
H,Thursday,12:00,12:55
I,Tuesday,12:00,1:25
I,Thursday,12:00,1:25
J,Tuesday,1:00,1:55
J,Thursday,1:00,1:55
K,Monday,5:00,5:55
K,Wednesday,5:00,5:55
K,Friday,5:00,5:55
L,Tuesday,5:00,6:25
L,Thursday,5:00,6:25
A1,Monday,5:00,5:55
A1,Tuesday,4:00,4:55
A1,Wednesday,3:00,3:55
A1,Thursday,2:00,2:55
B1,Monday,4:00,4:55
B1,Tuesday,3:00,3:55
B1,Wednesday,2:00,2:55
B1,Friday,5:00,5:55
C1,Monday,3:00,3:55
C1,Tuesday,2:00,2:55
C1,Thursday,5:00,5:55
C1,Friday,4:00,4:55
D1,Monday,2:00,2:55
D1,Wednesday,5:00,5:55
D1,Thursday,4:00,4:55
D1,Friday,3:00,3:55
E1,Tuesday,5:00,5:55
E1,Wednesday,4:00,4:55
E1,Thursday,3:00,3:55
E1,Friday,2:00,2:55
