course_id,division
BT101,IV
BT101,III
BT101,II
BT101,I
BT202,NA
BT205,NA
BT208,NA
BT302,NA
BT305,NA
BT306,NA
BT308,NA
BT401,NA
BT502,NA
BT504,NA
BT601,NA
BT604,NA
BT607,NA
BT609,NA
BT613,NA
BT616,NA
BT618,NA
BT629,NA
BT630,NA
BT632,NA
BT637,NA
CE201,NA
CE205,NA
CE206,NA
CE220,NA
CE222,NA
CE304,NA
CE307,NA
CE308,NA
CE309,NA
CE311,NA
CE402,NA
CE504,NA
CE505,NA
CE510,NA
CE514,NA
CE524,NA
CE525,NA
CE533,NA
CE552,NA
CE555,NA
CE556,NA
CE564,NA
CE570,NA
CE583,NA
CE584,NA
CE594,NA
CE595,NA
CE606,NA
CE607,NA
CE608,NA
CE612,NA
CE614,NA
CE615,NA
CE616,NA
CE623,NA
CE628,NA
CE643,NA
CE646,NA
CE648,NA
CE649,NA
CE652,NA
CE661,NA
CE664,NA
CH212,NA
CH222,NA
CH232,NA
CH233,NA
CH322,NA
CH323,NA
CH333,NA
CH411,NA
CH417,NA
CH418,NA
CH419,NA
CH421,NA
CH428,NA
CH432,NA
CH433,NA
CH438,NA
CH501,NA
CH603,NA
CH611,NA
CH615,NA
CH617,NA
CH621,NA
CH623,NA
CH625,NA
CH630,NA
CH637,NA
CH640,NA
CH643,NA
CL204,NA
CL205,NA
CL206,NA
CL207,NA
CL252M,NA
CL307,NA
CL308,NA
CL309,NA
CL314,NA
CL352M,NA
CL401,NA
CL404,NA
CL503,NA
CL504,NA
CL612,NA
CL614,NA
CL617,NA
CL618,NA
CL619,NA
CL622,NA
CL623,NA
CL625,NA
CL630,NA
CL634,NA
CL635,NA
CL638,NA
CL639,NA
CL642,NA
CS101,IV
CS101,III
CS101,II
CS101,I
CS203,NA
CS204,NA
CS206M,NA
CS222,NA
CS242,NA
CS344,NA
CS346,NA
CS348,NA
CS350M,NA
CS501,NA
CS503,NA
CS525,NA
CS526,NA
CS549,NA
CS561,NA
CS666,NA
DD220M,NA
DD320M,NA
EE203,NA
EE213M,NA
EE221,NA
EE221T,NA
EE230,NA
EE230T,NA
EE270,NA
EE322M,NA
EE333,NA
EE337,NA
EE340,NA
EE351,NA
EE360,NA
EE385,NA
EE503,NA
EE525,NA
EE533,NA
EE534,NA
EE551,NA
EE561,NA
EE580,NA
EE621,NA
EE625,NA
EE626,NA
EE631,NA
EE632,NA
EE634,NA
EE636,NA
EE642,NA
EE645,NA
EE646,NA
EE647,NA
EE648,NA
EE652,NA
EE653,NA
EE657,NA
EE663,NA
EE664,NA
EE667,NA
EE668,NA
EE671,NA
EE673,NA
EN671,NA
HS203,NA
HS212,NA
HS213,NA
HS220,NA
HS224,NA
HS226,NA
HS234,NA
HS237,NA
HS238,NA
HS239,NA
HS242,NA
HS243,NA
HS406,NA
HS409,NA
HS413,NA
HS414,NA
HS415,NA
HS420,NA
HS421,NA
HS422,NA
HS424,NA
HS425,NA
HS502,NA
HS503,NA
HS505,NA
HS512,NA
HS517,NA
HS521,NA
HS604,NA
HS621,NA
HS622,NA
HS623,NA
LS621,NA
MA102,IV
MA102,III
MA102,II
MA102,I
MA212M,NA
MA224,NA
MA252,NA
MA271,NA
MA312M,NA
MA321,NA
MA351,NA
MA373,NA
MA473,NA
MA477,NA
MA502,NA
MA505,NA
MA512,NA
MA513,NA
MA519,NA
MA542,NA
MA547,NA
MA561,NA
MA571,NA
MA573,NA
MA590,NA
MA591,NA
MA616,NA
MA622,NA
MA625,NA
MA641,NA
MA642,NA
MA643,NA
MA644,NA
MA662,NA
MA671,NA
MA685,NA
MA691,NA
MA746,NA
MA762,NA
ME101,IV
ME101,III
ME101,II
ME101,I
ME221,NA
ME222,NA
ME223,NA
ME224,NA
ME321,NA
ME321M,NA
ME322,NA
ME323,NA
ME324,NA
ME325,NA
ME421,NA
ME513,NA
ME514,NA
ME522,NA
ME532,NA
ME553,NA
ME554,NA
ME605,NA
ME607,NA
ME609,NA
ME613,NA
ME615,NA
ME616,NA
ME618,NA
ME619,NA
ME654,NA
ME662,NA
ME665,NA
ME670,NA
ME672,NA
ME680,NA
ME686,NA
ME688,NA
ME691,NA
ME695,NA
PH102,IV
PH102,III
PH102,II
PH102,I
PH202,NA
PH204,NA
PH206,NA
PH302,NA
PH304,NA
PH306,NA
PH308,NA
PH382M,NA
PH402,NA
PH404,NA
PH406,NA
PH408,NA
PH410,NA
PH414,NA
PH443,NA
PH446,NA
PH462,NA
PH521,NA
PH523,NA
PH524,NA
PH527,NA
PH531,NA
PH532,NA
PH543,NA
PH544,NA
PH545,NA
PH702,NA
PH703,NA
PH704,NA
PH706,NA
RT514,NA
RT515,NA
RT517,NA
RT520,NA
