Course_ID,Division,Department,Slot,Day,Room
MA512,NA,MA,A,Monday,1002
MA512,NA,MA,A,Thursday,1002
MA512,NA,MA,A,Tuesday,1002
MA512,NA,MA,A,Wednesday,1002
MA625,NA,MA,A1,Monday,1002
MA625,NA,MA,A1,Thursday,1002
MA625,NA,MA,A1,Tuesday,1002
MA625,NA,MA,A1,Wednesday,1002
MA542,NA,MA,B,Friday,1002
MA542,NA,MA,B,Monday,1002
MA542,NA,MA,B,Tuesday,1002
MA542,NA,MA,B,Wednesday,1002
MA662,NA,MA,B1,Friday,1002
MA662,NA,MA,B1,Monday,1002
MA662,NA,MA,B1,Tuesday,1002
MA662,NA,MA,B1,Wednesday,1002
MA590,NA,MA,C,Friday,1002
MA590,NA,MA,C,Monday,1002
MA590,NA,MA,C,Thursday,1002
MA590,NA,MA,C,Tuesday,1002
MA643,NA,MA,C1,Friday,1002
MA643,NA,MA,C1,Monday,1002
MA643,NA,MA,C1,Thursday,1002
MA643,NA,MA,C1,Tuesday,1002
MA547,NA,MA,D,Friday,1002
MA547,NA,MA,D,Monday,1002
MA547,NA,MA,D,Thursday,1002
MA762,NA,MA,D1,Friday,1002
MA762,NA,MA,D1,Monday,1002
MA762,NA,MA,D1,Thursday,1002
MA762,NA,MA,D1,Wednesday,1002
MA591,NA,MA,E,Friday,1002
MA591,NA,MA,E,Thursday,1002
MA591,NA,MA,E,Tuesday,1002
MA591,NA,MA,E,Wednesday,1002
MA642,NA,MA,E1,Friday,1002
MA642,NA,MA,E1,Thursday,1002
MA642,NA,MA,E1,Tuesday,1002
MA642,NA,MA,E1,Wednesday,1002
MA616,NA,MA,L,Thursday,1002
MA616,NA,MA,L,Tuesday,1002
ME221,NA,ME,A,Thursday,1003
ME221,NA,ME,A,Tuesday,1003
ME221,NA,ME,A,Wednesday,1003
ME615,NA,ME,A,Monday,1003
ME321,NA,ME,A1,Monday,1003
ME321,NA,ME,A1,Thursday,1003
ME321,NA,ME,A1,Tuesday,1003
ME222,NA,ME,B,Monday,1003
ME222,NA,ME,B,Tuesday,1003
ME222,NA,ME,B,Wednesday,1003
ME322,NA,ME,B1,Monday,1003
ME322,NA,ME,B1,Tuesday,1003
ME223,NA,ME,C,Friday,1003
ME223,NA,ME,C,Monday,1003
ME223,NA,ME,C,Tuesday,1003
ME618,NA,ME,C,Thursday,1003
ME324,NA,ME,C1,Friday,1003
ME324,NA,ME,C1,Monday,1003
ME324,NA,ME,C1,Thursday,1003
ME324,NA,ME,C1,Tuesday,1003
